"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"","Kirindi Oya","Wellawaya","m 4.40 5.40","5.90","2.00","2.19","Normal","","25.9"
"(RB 22)","","","","","","","","",""
"","Kuda Oya","Kuda Oya","m 6.90 8.40","8.80","2.00","2.05","Normal","","11.0"
"Menik Ganga (RB","","","","","","","","",""
"","Menik Ganga","Katharagama","m 4.00 4.60","6.50","2.07","2.25","Normal","","27.5"
"26)","","","","","","","","",""
"Kumbukkan Oya","","","","","","","","",""
"","Kumbukkan Oya","Nakkala","m 5.00 6.00","7.50","6.30","6.08","Minor Flood","Falling","58.3"
"(RB 31)","","","","","","","","",""
"Heda Oya","","","","","","","","",""
"","Heda Oya","Siyambalanduwa","m 4.50 6.00","7.00","5.49","5.60","Alert","Rising","78.6"
"(RB 36)","","","","","","","","",""
"Maduru Oya","","","","","","","","",""
"","Maduru Oya","Padiyathalawa","m 4.00 4.50","6.00","4.00","3.50","Normal","","53.3"
"(RB 54)","","","","","","","","",""
"","Mahaweli Ganga","Manampitiya","m 3.00 4.30","6.00","4.74","4.88","Minor Flood","Rising","108.6"
"","Mahaweli Ganga","Weraganthota","m 5.00 6.00","8.00","2.45","2.00","Normal","","67.7"
"Mahaweli Ganga","","","","","","","","",""
"","Mahaweli Ganga","Peradeniya","m 5.00 7.00","9.00","4.63","4.55","Normal","","53.4"
"(RB 60)","","","","","","","","",""
"","Mahaweli Ganga","Nawalapitiya","m 3.50 5.00","6.00","1.66","1.67","Normal","","24.6"
"","Badulu Oya","Thaldena","m 3.00 4.00","5.00","3.06","3.33","Alert","Rising","59.4"
"Yan Oya","","","","","","","","",""
"","Yan Oya","Horowpothana","m 6.00 7.50","10.50","7.46","7.49","Alert","Rising","57.1"
"(RB 67)","","","","","","","","",""
"Maa Oya (RB 69)  Mukunu Oya","","Yaka Wewa","m 4.00 5.00","6.00","4.03","4.41","Alert","Rising","102.8"
"Malwathu Oya","","","","","","","","",""
"","Malwathu Oya","Thanthirimale","m 5.00 6.80","7.80","5.12","5.18","Alert","Rising","61.7"
"(RB 90)","","","","","","","","",""
"Mee Oya","","","","","","","","",""
"","Mee Oya","Galgamuwa","m 4.84 5.94","8.00","3.02","3.04","Normal","","22.7"
"(RB 95)","","","","","","","","",""
"Deduru Oya","","","","","","","","",""
"","Deduru Oya","Moragaswewa","m 4.75 6.00","7.00","3.28","3.51","Normal","","15.8"
"(RB 99)","","","","","","","","",""
"10.8Maha Oya","Maha Oya","Badalgama","m 5.00 6.20","9.60","3.82","3.84","Normal","",""
"(RB 102)","","","","","","","","",""
"","Maha Oya","Giriulla","m 5.50 6.50","7.50","3.25","3.44","Normal","","15.8"
"Attanagalu Oya","","","","","","","","",""
"","Attanagalu Oya","Dunamale","m 3.30 4.40","5.50","2.20","2.24","Normal","","11.9"
"(RB 103)","","","","","","","","",""
