"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"","","","Gauging Station","","","","","Water",""
"","","","","","Water","Water","","","9 Hr RF in"
"","","","Minor","Major","","","","Level",""
"River Basin","Tributory/River","","Alert","","Level at","Level at","Remarks","","mm at 6.00"
"","","Station","Unit Flood","Flood","","","","Rising or",""
"","","","Level","","5:00 pm","6:00 pm","","","pm"
"","","","Level","Level","","","","Falling",""
"","Kelani Ganga","Nagalagam Street","ft 4.00 5.00","7.00","2.30","2.20","Normal","","-"
"","Kelani Ganga","Hanwella","m 7.00 8.00","10.00","2.37","2.40","Normal","","6.3"
"","Kelani Ganga","Glencourse","m 15.00 16.50","19.00","10.75","10.81","Normal","","25.0"
"Kelani Ganga","","","","","","","","",""
"","Kelani Ganga","Kithulgala","m 3.00 4.00","6.00","1.85","1.80","Normal","","27.4"
"(RB 01)","","","","","","","","",""
"","Gurugoda Oya","Holombuwa","m 3.00 3.40","5.00","2.01","1.91","Normal","","38.4"
"","Seethawaka Ganga","Deraniyagala","m 4.80 5.80","6.40","0.87","0.91","Normal","","21.2"
"","Kehelgamu Oya","Norwood","m 1.50 3.00","4.50","1.20","1.28","Normal","","17.9"
"","Kalu Ganga","Putupaula","m 3.00 4.00","5.00","1.72","1.70","Normal","","0.6"
"","Kalu Ganga","Ellagawa","m 10.00 10.70","12.20","6.81","6.77","Normal","","5.6"
"Kalu Ganga","","","","","","","","",""
"","Kalu Ganga","Rathnapura","m 5.20 7.50","9.50","2.73","2.70","Normal","","6.9"
"(RB 03)","","","","","","","","",""
"","Maguru Ganga","Magura","m 4.00 6.00","7.50","3.19","3.07","Normal","","0.0"
"","Kuda Ganga","Kalawellawa (Millakanda)","m 5.00 6.50","8.00","4.95","4.91","Normal","","0.6"
"0.0Gin Ganga","Gin Ganga","Baddegama","m 3.50 4.00","5.00","3.55","3.53","Alert","Falling",""
"(RB 09)","","","","","","","","",""
"","Gin Ganga","Thawalama","m 4.00 6.00","7.50","2.16","2.07","Normal","","0.0"
"","Nilwala Ganga","Thalgahagoda","m 1.40 1.70","2.80","1.50","1.50","Alert","","39.1"
"5.6Nilwala Ganga","Nilwala Ganga","Panadugama","m 5.00 6.00","7.50","4.58","4.54","Normal","",""
"(RB 12)","","","","","","","","",""
"","Nilwala Ganga","Pitabeddara","m 4.00 5.00","6.50","1.34","1.34","Normal","","2.4"
"","Urubokka Ganga","Urawa","m 2.50 4.00","6.00","0.92","0.98","Normal","","65.1"
"Walawe Ganga","","","","","","","","",""
"","Walawe Ganga","Moraketiya","m 3.00 5.00","7.00","1.15","1.17","Normal","","1.2"
"(RB 18)","","","","","","","","",""
"","Kirindi Oya","Thanamalwila","m 4.00 5.00","5.50","1.86","1.98","Normal","","11.1"
"Kirindi Oya","","","","","","","","",""
