"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"","","","Gauging Station","","","Water","","Water",""
"","","","","","Water","","","","3 Hr RF in"
"","","","Minor","Major","","Level at","","Level",""
"River Basin","Tributory/River","","Alert","","Level at","","Remarks","","mm at"
"","Kirindi Oya","Wellawaya","m 4.40 5.40","5.90","2.75","2.53","Normal","","1.9"
"(RB 22)","","","","","","","","",""
"","Kuda Oya","Kuda Oya","m 6.90 8.40","8.80","5.47","5.47","Normal","","1.5"
"Menik Ganga (RB","","","","","","","","",""
"","Menik Ganga","Katharagama","m 4.00 4.60","6.50","5.70","5.88","Minor Flood","Rising","6.6"
"26)","","","","","","","","",""
"Kumbukkan Oya","","","","","","","","",""
"","Kumbukkan Oya","Nakkala","m 5.00 6.00","7.50","5.50","4.86","Normal","","13.1"
"(RB 31)","","","","","","","","",""
"Heda Oya","","","","","","","","",""
"","Heda Oya","Siyambalanduwa","m 4.50 6.00","7.00","4.69","4.57","Alert","Falling","8.3"
"(RB 36)","","","","","","","","",""
"Maduru Oya","","","","","","","","",""
"","Maduru Oya","Padiyathalawa","m 4.00 4.50","6.00","4.45","4.30","Alert","Falling","4.5"
"(RB 54)","","","","","","","","",""
"","Mahaweli Ganga","Manampitiya","m 3.00 4.30","6.00","5.37","5.38","Minor Flood","Rising","8.4"
"","Mahaweli Ganga","Weraganthota","m 5.00 6.00","8.00","5.98","7.90","Minor Flood","Rising","5.6"
"Mahaweli Ganga","","","","","","","","",""
"","Mahaweli Ganga","Peradeniya","m 5.00 7.00","9.00","8.50","8.62","Minor Flood","Rising","23.6"
"(RB 60)","","","","","","","","",""
"","Mahaweli Ganga","Nawalapitiya","m 3.50 5.00","6.00","4.16","3.76","Alert","Falling","17.2"
"","Badulu Oya","Thaldena","m 3.00 4.00","5.00","3.70","3.20","Alert","Falling","29.2"
"Yan Oya","","","","","","","","",""
"","Yan Oya","Horowpothana","m 6.00 7.50","10.50","7.72","7.73","Minor Flood","Rising","35.5"
"(RB 67)","","","","","","","","",""
"Maa Oya (RB 69)  Mukunu Oya","","Yaka Wewa","m 4.00 5.00","6.00","5.68","5.68","Minor Flood","","48.5"
"Malwathu Oya","","","","","","","","",""
"","Malwathu Oya","Thanthirimale","m 5.00 6.80","7.80","8.00","8.13","Major Flood","Rising","34.8"
"(RB 90)","","","","","","","","",""
"Mee Oya","","","","","","","","",""
"","Mee Oya","Galgamuwa","m 4.84 5.94","8.00","5.23","5.37","Alert","Rising","15.5"
"(RB 95)","","","","","","","","",""
"Deduru Oya","","","","","","","","",""
"","Deduru Oya","Moragaswewa","m 4.75 6.00","7.00","6.21","6.27","Minor Flood","Rising","22.3"
"(RB 99)","","","","","","","","",""
"16.0Maha Oya","Maha Oya","Badalgama","m 5.00 6.20","9.60","6.65","6.90","Minor Flood","Rising",""
"(RB 102)","","","","","","","","",""
"","Maha Oya","Giriulla","m 5.50 6.50","7.50","8.02","8.16","Major Flood","Rising","14.9"
"Attanagalu Oya","","","","","","","","",""
"","Attanagalu Oya","Dunamale","m 3.30 4.40","5.50","3.80","3.90","Alert","Rising","3.8"
"(RB 103)","","","","","","","","",""
