"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15"
"River Basin","Tributory/River","Gauging Station","WaterLevel at5:00 am","WaterLevel at6:00 am","Remarks","WaterLevelRising orFalling","21 Hr RFin mm at6.00 am","","","","","","",""
"","","Station","Unit","AlertLevel","MinorFloodLevel","MajorFloodLevel","","","","","","","",""
"","Kelani Ganga","Nagalagam Street","ft","4.00","5.00","7.00","3.00","2.80","Normal","","-","","",""
"","Kelani Ganga","Hanwella","m","7.00","8.00","10.00","3.36","3.67","Normal","","","","41.1",""
"","Kelani Ganga","Glencourse","m","15.00","16.50","19.00","12.96","13.28","Normal","","","","61.5",""
"Kelani Ganga(RB 01)","Kelani Ganga","Kithulgala","m","3.00","4.00","6.00","2.05","2.10","Normal","","","","7.1",""
"","Gurugoda Oya","Holombuwa","m","3.00","3.40","5.00","4.85","4.74","Minor Flood","Falling","","12",".2",""
"","Seethawaka Ganga","Deraniyagala","m","4.80","5.80","6.40","2.13","2.52","Normal","","","1","1.0",""
"","Kehelgamu Oya","Norwood","m","1.50","3.00","4.50","1.95","1.89","Alert","Falling","","","70.4",""
"Kalu Ganga(RB 03)","Kalu Ganga","Putupaula","m","3.00","4.00","5.00","1.66","1.59","Normal","","","7.0","",""
"","Kalu Ganga","Ellagawa","m","10.00","10.70","12.20","6.57","6.60","Normal","","","","34.2",""
"","Kalu Ganga","Rathnapura","m","5.20","7.50","9.50","3.25","3.35","Normal","","","","40.1",""
"","Maguru Ganga","Magura","m","4.00","6.00","7.50","2.78","2.82","Normal","","","","37.4",""
"","Kuda Ganga","Kalawellawa(Millakanda)","m","5.00","6.50","8.00","4.72","4.64","Normal","","","","29.4",""
"Gin Ganga","Gin Ganga","Baddegama","m","3.50","4.00","5.00","3.20","3.17","Normal","","","","23.9",""
"(RB 09)","Gin Ganga","Thawalama","m","4.00","6.00","7.50","2.10","2.25","Normal","","","","11.3",""
"Nilwala Ganga(RB 12)","Nilwala Ganga","Thalgahagoda","m","1.40","1.70","2.80","1.60","1.64","Alert","Rising","","","72.4",""
"","Nilwala Ganga","Panadugama","m","5.00","6.00","7.50","5.58","5.60","Alert","Rising","","","54.0",""
"","Nilwala Ganga","Pitabeddara","m","4.00","5.00","6.50","2.83","2.71","Normal","","","","42.0",""
"","Urubokka Ganga","Urawa","m","2.50","4.00","6.00","1.67","1.58","Normal","","","","9.6",""
"Walawe Ganga(RB 18)","Walawe Ganga","Moraketiya","m","3.00","5.00","7.00","1.69","1.71","Normal","","","","31.1",""
"Kirindi Oya(RB 22)","Kirindi Oya","Thanamalwila","m","4.00","5.00","5.50","3.88","3.98","Normal","","","","48.0",""
"","Kirindi Oya","Wellawaya","m","4.40","5.40","5.90","3.19","3.10","Normal","","","1","7.5",""
"","Kuda Oya","Kuda Oya","m","6.90","8.40","8.80","4.25","4.85","Normal","","","","53.3",""
"Menik Ganga(RB 26)","Menik Ganga","Katharagama","m","4.00","4.60","6.50","3.66","3.90","Normal","","","","9.6",""
"Kumbukkan Oya(RB 31)","Kumbukkan Oya","Nakkala","m","5.00","6.00","7.50","8.65","8.25","Major Flood","Falling","","1","1.4",""
"Heda Oya(RB 36)","Heda Oya","Siyambalanduwa","m","4.50","6.00","7.00","4.18","4.45","Normal","","","11",".5",""
"Maduru Oya(RB 54)","Maduru Oya","Padiyathalawa","m","4.00","4.50","6.00","4.30","4.25","Alert","Falling","","138","1",""
"","Mahaweli Ganga","Manampitiya","m","3.00","4.30","6.00","5.30","5.33","Minor Flood","Rising","","217.3","",""
"","Mahaweli Ganga","Weraganthota","m","5.00","6.00","8.00","4.63","4.81","Normal","","","231.9","",""
"Mahaweli Ganga(RB 60)","Mahaweli Ganga","Peradeniya","m","5.00","7.00","9.00","7.42","7.33","Minor Flood","Falling","","150.","",""
"","Mahaweli Ganga","Nawalapitiya","m","3.50","5.00","6.00","3.25","3.25","Normal","","","1","0.8",""
"","Badulu Oya","Thaldena","m","3.00","4.00","5.00","4.50","4.20","Minor Flood","Falling","","167.","",""
"Yan Oya(RB 67)","Yan Oya","Horowpothana","m","6.00","7.50","10.50","7.63","7.65","Minor Flood","Rising","","12",".2",""
"Maa Oya (RB 69)","Mukunu Oya","Yaka Wewa","m","4.00","5.00","6.00","5.34","5.49","Minor Flood","Rising","","220.6","",""
"Malwathu Oya(RB 90)","Malwathu Oya","Thanthirimale","m","5.00","6.80","7.80","6.54","7.06","Minor Flood","Rising","","195.0","",""
"Deduru Oya(RB 99)","Deduru Oya","Moragaswewa","m","4.75","6.00","7.00","5.65","5.77","Alert","Rising","","","2.0",""
"Maha Oya(RB 102)","Maha Oya","Badalgama","m","5.00","6.20","9.60","4.83","5.05","Alert","Rising","","","76.2",""
"","Maha Oya","Giriulla","m","5.50","6.50","7.50","6.13","6.64","Minor Flood","Rising","","","8.1",""
"Attanagalu Oya(RB 103)","Attanagalu Oya","Dunamale","m","3.30","4.40","5.50","3.16","3.27","Normal","","","","9.3",""
