"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
"Kirindi Oya","","Thanamalwila","m 4.00","5.00","5.50","4.48","4.37","Alert","Falling","23.7"
"Kirindi Oya","","","","","","","","","",""
"Kirindi Oya","","Wellawaya","m 4.40","5.40","5.90","2.68","2.73","Normal","","34.5"
"(RB 22)","","","","","","","","","",""
"Kuda Oya","","Kuda Oya","m 6.90","8.40","8.80","4.50","4.55","Normal","","22.5"
"Menik Ganga (RB","","","","","","","","","",""
"Menik Ganga","","Katharagama","m 4.00","4.60","6.50","6.36","6.48","Minor Flood","Rising","23.2"
"26)","","","","","","","","","",""
"Kumbukkan Oya","","","","","","","","","",""
"Kumbukkan Oya","","Nakkala","m 5.00","6.00","7.50","5.28","5.72","Alert","Rising","61.6"
"(RB 31)","","","","","","","","","",""
"Heda Oya","","","","","","","","","",""
"Heda Oya","","Siyambalanduwa","m 4.50","6.00","7.00","4.15","4.25","Normal","","28.1"
"(RB 36)","","","","","","","","","",""
"Maduru Oya","","","","","","","","","",""
"Maduru Oya","","Padiyathalawa","m 4.00","4.50","6.00","6.51","6.65","Major Flood","Rising","120.3"
"(RB 54)","","","","","","","","","",""
"Mahaweli Ganga","","Manampitiya","m 3.00","4.30","6.00","5.44","5.50","Minor Flood","Rising","107.0"
"Mahaweli Ganga","","Weraganthota","m 5.00","6.00","8.00","-","-","","","-"
"Mahaweli Ganga","","","","","","","","","",""
"Mahaweli Ganga","","Peradeniya","m 5.00","7.00","9.00","9.14","9.53","Major Flood","Rising","81.7"
"(RB 60)","","","","","","","","","",""
"Mahaweli Ganga","","Nawalapitiya","m 3.50","5.00","6.00","4.78","5.07","Minor Flood","Rising","79.4"
"Badulu Oya","","Thaldena","m 3.00","4.00","5.00","-","-","","","-"
"Yan Oya","","","","","","","","","",""
"Yan Oya","","Horowpothana","m 6.00","7.50","10.50","7.77","7.78","Minor Flood","Rising","46.2"
"(RB 67)","","","","","","","","","",""
"Maa Oya (RB 69)  Mukunu Oya","","Yaka Wewa","m 4.00","5.00","6.00","5.73","5.74","Minor Flood","Rising","60.6"
"Malwathu Oya","","","","","","","","","",""
"Malwathu Oya","","Thanthirimale","m 5.00","6.80","7.80","8.59","8.77","Major Flood","Rising","104.6"
"(RB 90)","","","","","","","","","",""
"Mee Oya","","","","","","","","","",""
"Mee Oya","","Galgamuwa","m 4.84","5.94","8.00","6.05","6.12","Minor Flood","Rising","22.2"
"(RB 95)","","","","","","","","","",""
"Deduru Oya","","","","","","","","","",""
"Deduru Oya","","Moragaswewa","m 4.75","6.00","7.00","6.72","6.90","Minor Flood","Rising","31.1"
"(RB 99)","","","","","","","","","",""
"Maha Oya","","Badalgama","m 5.00","6.20","9.60","7.95","8.08","Minor Flood","Rising","19.5"
"Maha Oya","","","","","","","","","",""
"(RB 102)","","","","","","","","","",""
"Maha Oya","","Giriulla","m 5.50","6.50","7.50","8.42","8.42","Major Flood","","28.1"
"Attanagalu Oya","","","","","","","","","",""
"Attanagalu Oya","","Dunamale","m 3.30","4.40","5.50","4.12","4.16","Alert","Rising","6.0"
"(RB 103)","","","","","","","","","",""
