"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
"","","","Gauging Station","","","","","","Water",""
"","","","","","","Water","Water","","","9 Hr RF in"
"","","","","Minor","Major","","","","Level",""
"River Basin Tributory/River","","","Alert","","","Level at","Level at","Remarks","","mm at 6.00"
"","","Station","Unit","Flood","Flood","","","","Rising or",""
"","","","Level","","","5:00 pm","6:00 pm","","","pm"
"","","","","Level","Level","","","","Falling",""
"Kelani Ganga","","Nagalagam Street","ft 4.00","5.00","7.00","3.20","3.20","Normal","","-"
"Kelani Ganga","","Hanwella","m 7.00","8.00","10.00","6.17","6.27","Normal","","15.5"
"Kelani Ganga","","Glencourse","m 15.00","16.50","19.00","15.15","15.21","Alert","Rising","22.5"
"Kelani Ganga","","","","","","","","","",""
"Kelani Ganga","","Kithulgala","m 3.00","4.00","6.00","2.55","3.39","Alert","Rising","50.2"
"(RB 01)","","","","","","","","","",""
"Gurugoda Oya","","Holombuwa","m 3.00","3.40","5.00","4.19","4.30","Minor Flood","Rising","36.6"
"Seethawaka Ganga","","Deraniyagala","m 4.80","5.80","6.40","2.22","3.63","Normal","","62.8"
"Kehelgamu Oya","","Norwood","m 1.50","3.00","4.50","2.68","2.87","Alert","Rising","62.8"
"Kalu Ganga","","Putupaula","m 3.00","4.00","5.00","1.68","1.72","Normal","","11.0"
"Kalu Ganga","","Ellagawa","m 10.00","10.70","12.20","7.64","7.73","Normal","","22.6"
"Kalu Ganga","","","","","","","","","",""
"Kalu Ganga","","Rathnapura","m 5.20","7.50","9.50","5.60","5.65","Alert","Rising","35.3"
"(RB 03)","","","","","","","","","",""
"Maguru Ganga","","Magura","m 4.00","6.00","7.50","3.44","3.56","Normal","","23.2"
"Kuda Ganga","","Kalawellawa (Millakanda)","m 5.00","6.50","8.00","4.85","4.88","Normal","","17.4"
"Gin Ganga","","Baddegama","m 3.50","4.00","5.00","3.08","3.08","Normal","","6.5"
"Gin Ganga","","","","","","","","","",""
"(RB 09)","","","","","","","","","",""
"Gin Ganga","","Thawalama","m 4.00","6.00","7.50","2.62","2.65","Normal","","17.9"
"Nilwala Ganga","","Thalgahagoda","m 1.40","1.70","2.80","1.69","1.69","Alert","","2.3"
"Nilwala Ganga","","Panadugama","m 5.00","6.00","7.50","5.26","5.25","Alert","Falling","6.8"
"Nilwala Ganga","","","","","","","","","",""
"(RB 12)","","","","","","","","","",""
"Nilwala Ganga","","Pitabeddara","m 4.00","5.00","6.50","2.08","2.08","Normal","","9.5"
"Urubokka Ganga","","Urawa","m 2.50","4.00","6.00","1.60","1.55","Normal","","9.4"
"Walawe Ganga","","","","","","","","","",""
"Walawe Ganga","","Moraketiya","m 3.00","5.00","7.00","2.10","2.10","Normal","","13.7"
"(RB 18)","","","","","","","","","",""
