"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
"Kirindi Oya","","Wellawaya","m 4.40","5.40","5.90","1.38","1.37","Normal","","2.8"
"(RB 22)","","","","","","","","","",""
"Kuda Oya","","Kuda Oya","m 6.90","8.40","8.80","1.90","1.90","Normal","",""
"Menik Ganga (RB","","","","","","","","","",""
"Menik Ganga","","Katharagama","m 4.00","4.60","6.50","1.27","1.27","Normal","","0.8"
"26)","","","","","","","","","",""
"Kumbukkan Oya","","","","","","","","","",""
"Kumbukkan Oya","","Nakkala","m 5.00","6.00","7.50","2.21","2.36","Normal","","16.8"
"(RB 31)","","","","","","","","","",""
"Heda Oya","","","","","","","","","",""
"Heda Oya","","Siyambalanduwa","m 4.50","6.00","7.00","2.50","2.58","Normal","","2.4"
"(RB 36)","","","","","","","","","",""
"Maduru Oya","","","","","","","","","",""
"Maduru Oya","","Padiyathalawa","m 4.00","4.50","6.00","1.50","1.55","Normal","","5.6"
"(RB 54)","","","","","","","","","",""
"Mahaweli Ganga","","Manampitiya","m 3.00","4.30","6.00","2.73","2.73","Normal","","10.0"
"Mahaweli Ganga","","Weraganthota","m 5.00","6.00","8.00","-0.88","-0.92","Normal","","11.6"
"Mahaweli Ganga","","","","","","","","","",""
"Mahaweli Ganga","","Peradeniya","m 5.00","7.00","9.00","3.05","3.13","Normal","","4.5"
"(RB 60)","","","","","","","","","",""
"Mahaweli Ganga","","Nawalapitiya","m 3.50","5.00","6.00","1.37","1.37","Normal","","3.1"
"Badulu Oya","","Thaldena","m 3.00","4.00","5.00","1.18","1.25","Normal","","13.4"
"Yan Oya","","","","","","","","","",""
"Yan Oya","","Horowpothana","m 6.00","7.50","10.50","4.72","4.72","Normal","","0.0"
"(RB 67)","","","","","","","","","",""
"Maa Oya (RB 69)  Mukunu Oya","","Yaka Wewa","m 4.00","5.00","6.00","1.20","1.17","Normal","","0.0"
"Malwathu Oya","","","","","","","","","",""
"Malwathu Oya","","Thanthirimale","m 5.00","6.80","7.80","2.82","2.80","Normal","","0.6"
"(RB 90)","","","","","","","","","",""
"Mee Oya","","","","","","","","","",""
"Mee Oya","","Galgamuwa","m 4.84","5.94","8.00","3.43","3.36","Normal","","1.0"
"(RB 95)","","","","","","","","","",""
"Deduru Oya","","","","","","","","","",""
"Deduru Oya","","Moragaswewa","m 4.75","6.00","7.00","3.90","3.86","Normal","","0.3"
"(RB 99)","","","","","","","","","",""
"Maha Oya","","Badalgama","m 5.00","6.20","9.60","3.81","3.78","Normal","","0.0"
"Maha Oya","","","","","","","","","",""
"(RB 102)","","","","","","","","","",""
"Maha Oya","","Giriulla","m 5.50","6.50","7.50","2.70","2.66","Normal","","0.0"
"Attanagalu Oya","","","","","","","","","",""
"Attanagalu Oya","","Dunamale","m 3.30","4.40","5.50","2.48","2.42","Normal","","0.0"
"(RB 103)","","","","","","","","","",""
