"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
"","","","Gauging Station","","","","Water","","Water",""
"","","","","","","Water","","","","3 Hr RF in"
"","","","","Minor","Major","","Level at","","Level",""
"River Basin Tributory/River","","","Alert","","","Level at","","Remarks","","mm at"
"","","Station","Unit","Flood","Flood","","12:00","","Rising or",""
"","","","Level","","","11:00 am","","","","12.00 noon"
"","","","","Level","Level","","noon","","Falling",""
"Kelani Ganga","","Nagalagam Street","ft 4.00","5.00","7.00","1.50","1.60","Normal","","-"
"Kelani Ganga","","Hanwella","m 7.00","8.00","10.00","2.75","2.69","Normal","","0.0"
"Kelani Ganga","","Glencourse","m 15.00","16.50","19.00","10.60","10.55","Normal","","0.4"
"Kelani Ganga","","","","","","","","","",""
"Kelani Ganga","","Kithulgala","m 3.00","4.00","6.00","1.76","1.76","Normal","","1.5"
"(RB 01)","","","","","","","","","",""
"Gurugoda Oya","","Holombuwa","m 3.00","3.40","5.00","1.01","1.01","Normal","","0.3"
"Seethawaka Ganga","","Deraniyagala","m 4.80","5.80","6.40","0.90","0.84","Normal","","0.6"
"Kehelgamu Oya","","Norwood","m 1.50","3.00","4.50","1.28","1.23","Normal","","2.6"
"Kalu Ganga","","Putupaula","m 3.00","4.00","5.00","1.95","1.95","Normal","","0.0"
"Kalu Ganga","","Ellagawa","m 10.00","10.70","12.20","7.65","7.68","Normal","","1.0"
"Kalu Ganga","","","","","","","","","",""
"Kalu Ganga","","Rathnapura","m 5.20","7.50","9.50","4.78","4.62","Normal","","0.0"
"(RB 03)","","","","","","","","","",""
"Maguru Ganga","","Magura","m 4.00","6.00","7.50","2.49","2.40","Normal","","0.0"
"Kuda Ganga","","Kalawellawa (Millakanda)","m 5.00","6.50","8.00","5.34","5.29","Alert","Falling","0.0"
"Gin Ganga","","Baddegama","m 3.50","4.00","5.00","3.51","3.48","Normal","","0.0"
"Gin Ganga","","","","","","","","","",""
"(RB 09)","","","","","","","","","",""
"Gin Ganga","","Thawalama","m 4.00","6.00","7.50","2.22","2.21","Normal","","0.0"
"Nilwala Ganga","","Thalgahagoda","m 1.40","1.70","2.80","1.56","1.54","Alert","Falling","0.0"
"Nilwala Ganga","","Panadugama","m 5.00","6.00","7.50","5.04","4.99","Normal","","0.0"
"Nilwala Ganga","","","","","","","","","",""
"(RB 12)","","","","","","","","","",""
"Nilwala Ganga","","Pitabeddara","m 4.00","5.00","6.50","1.68","1.60","Normal","","0.0"
"Urubokka Ganga","","Urawa","m 2.50","4.00","6.00","1.16","1.12","Normal","","0.0"
"Walawe Ganga","","","","","","","","","",""
"Walawe Ganga","","Moraketiya","m 3.00","5.00","7.00","1.39","1.36","Normal","","0.0"
"(RB 18)","","","","","","","","","",""
"Kirindi Oya","","Thanamalwila","m 4.00","5.00","5.50","1.73","1.69","Normal","","0.0"
"Kirindi Oya","","","","","","","","","",""
