"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
"","","","Gauging Station","","","","","","Water",""
"","","","","","","Water","Water","","","6 Hr RF in"
"","","","","Minor","Major","","","","Level",""
"River Basin Tributory/River","","","Alert","","","Level at","Level at","Remarks","","mm at 3.00"
"","","Station","Unit","Flood","Flood","","","","Rising or",""
"","","","Level","","","2:00 pm","3:00 pm","","","pm"
"","","","","Level","Level","","","","Falling",""
"Kelani Ganga","","Nagalagam Street","ft 4.00","5.00","7.00","2.00","2.10","Normal","","-"
"Kelani Ganga","","Hanwella","m 7.00","8.00","10.00","2.58","2.52","Normal","","0.0"
"Kelani Ganga","","Glencourse","m 15.00","16.50","19.00","10.46","10.41","Normal","","0.4"
"Kelani Ganga","","","","","","","","","",""
"Kelani Ganga","","Kithulgala","m 3.00","4.00","6.00","1.58","1.70","Normal","","1.5"
"(RB 01)","","","","","","","","","",""
"Gurugoda Oya","","Holombuwa","m 3.00","3.40","5.00","1.00","0.99","Normal","","0.9"
"Seethawaka Ganga","","Deraniyagala","m 4.80","5.80","6.40","0.85","0.86","Normal","","0.6"
"Kehelgamu Oya","","Norwood","m 1.50","3.00","4.50","1.20","1.18","Normal","","2.6"
"Kalu Ganga","","Putupaula","m 3.00","4.00","5.00","1.95","1.95","Normal","","0.0"
"Kalu Ganga","","Ellagawa","m 10.00","10.70","12.20","7.72","7.70","Normal","","1.0"
"Kalu Ganga","","","","","","","","","",""
"Kalu Ganga","","Rathnapura","m 5.20","7.50","9.50","4.32","4.17","Normal","","0.0"
"(RB 03)","","","","","","","","","",""
"Maguru Ganga","","Magura","m 4.00","6.00","7.50","2.32","2.30","Normal","","0.8"
"Kuda Ganga","","Kalawellawa (Millakanda)","m 5.00","6.50","8.00","5.19","5.14","Alert","Falling","0.0"
"Gin Ganga","","Baddegama","m 3.50","4.00","5.00","3.42","3.41","Normal","","7.2"
"Gin Ganga","","","","","","","","","",""
"(RB 09)","","","","","","","","","",""
"Gin Ganga","","Thawalama","m 4.00","6.00","7.50","2.05","2.05","Normal","","8.7"
"Nilwala Ganga","","Thalgahagoda","m 1.40","1.70","2.80","1.52","1.52","Alert","","0.0"
"Nilwala Ganga","","Panadugama","m 5.00","6.00","7.50","4.85","4.74","Normal","","3.8"
"Nilwala Ganga","","","","","","","","","",""
"(RB 12)","","","","","","","","","",""
"Nilwala Ganga","","Pitabeddara","m 4.00","5.00","6.50","1.58","1.50","Normal","","5.2"
"Urubokka Ganga","","Urawa","m 2.50","4.00","6.00","1.02","1.00","Normal","","1.2"
"Walawe Ganga","","","","","","","","","",""
"Walawe Ganga","","Moraketiya","m 3.00","5.00","7.00","1.30","1.30","Normal","","0.0"
"(RB 18)","","","","","","","","","",""
