"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
"Kirindi Oya","","Thanamalwila","m 4.00","5.00","5.50","1.64","1.64","Normal","","1.0"
"Kirindi Oya","","","","","","","","","",""
"Kirindi Oya","","Wellawaya","m 4.40","5.40","5.90","1.35","1.35","Normal","","2.8"
"(RB 22)","","","","","","","","","",""
"Kuda Oya","","Kuda Oya","m 6.90","8.40","8.80","1.88","1.87","Normal","","0.0"
"Menik Ganga (RB","","","","","","","","","",""
"Menik Ganga","","Katharagama","m 4.00","4.60","6.50","1.40","1.41","Normal","","1.5"
"26)","","","","","","","","","",""
"Kumbukkan Oya","","","","","","","","","",""
"Kumbukkan Oya","","Nakkala","m 5.00","6.00","7.50","2.66","2.58","Normal","","16.8"
"(RB 31)","","","","","","","","","",""
"Heda Oya","","","","","","","","","",""
"Heda Oya","","Siyambalanduwa","m 4.50","6.00","7.00","2.52","2.49","Normal","","5.9"
"(RB 36)","","","","","","","","","",""
"Maduru Oya","","","","","","","","","",""
"Maduru Oya","","Padiyathalawa","m 4.00","4.50","6.00","1.75","1.90","Normal","","17.1"
"(RB 54)","","","","","","","","","",""
"Mahaweli Ganga","","Manampitiya","m 3.00","4.30","6.00","2.69","2.68","Normal","","10.3"
"Mahaweli Ganga","","Weraganthota","m 5.00","6.00","8.00","-1.10","-1.15","Normal","","16.4"
"Mahaweli Ganga","","","","","","","","","",""
"Mahaweli Ganga","","Peradeniya","m 5.00","7.00","9.00","3.15","3.10","Normal","","6.0"
"(RB 60)","","","","","","","","","",""
"Mahaweli Ganga","","Nawalapitiya","m 3.50","5.00","6.00","1.36","1.36","Normal","","5.6"
"Badulu Oya","","Thaldena","m 3.00","4.00","5.00","1.36","1.34","Normal","","13.4"
"Yan Oya","","","","","","","","","",""
"Yan Oya","","Horowpothana","m 6.00","7.50","10.50","4.68","4.66","Normal","","28.3"
"(RB 67)","","","","","","","","","",""
"Maa Oya (RB 69)  Mukunu Oya","","Yaka Wewa","m 4.00","5.00","6.00","1.14","1.12","Normal","","8.6"
"Malwathu Oya","","","","","","","","","",""
"Malwathu Oya","","Thanthirimale","m 5.00","6.80","7.80","2.75","2.72","Normal","","2.8"
"(RB 90)","","","","","","","","","",""
"Mee Oya","","","","","","","","","",""
"Mee Oya","","Galgamuwa","m 4.84","5.94","8.00","3.38","3.39","Normal","","8.3"
"(RB 95)","","","","","","","","","",""
"Deduru Oya","","","","","","","","","",""
"Deduru Oya","","Moragaswewa","m 4.75","6.00","7.00","3.77","3.70","Normal","","0.3"
"(RB 99)","","","","","","","","","",""
"Maha Oya","","Badalgama","m 5.00","6.20","9.60","3.65","3.59","Normal","","0.2"
"Maha Oya","","","","","","","","","",""
"(RB 102)","","","","","","","","","",""
"Maha Oya","","Giriulla","m 5.50","6.50","7.50","2.53","2.46","Normal","","0.9"
"Attanagalu Oya","","","","","","","","","",""
"Attanagalu Oya","","Dunamale","m 3.30","4.40","5.50","2.30","2.26","Normal","","0.0"
"(RB 103)","","","","","","","","","",""
